key,name,unsettling_description,original_description
472,Parsnip Seeds,"TODO Plant in spring, 4 days.",Plant these in the spring. Takes 4 days to mature.
473,Bean Starter,"It doesn't *feel* magical, but you never know. Plant in spring, 10 days, reharvestable. Trellis crop.","Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis."
474,Cauliflower Seeds,"TODO Plant in spring, 12 days.",Plant these in the spring. Takes 12 days to produce a large cauliflower.
475,Potato Seeds,"The package says ""seeds"", but these are clearly potato eyes. Plant in spring, 6 days. Chance for multiple harvest.","Plant these in the spring. Takes 6 days to mature, and has a chance of yielding multiple potatoes at harvest."
476,Garlic Seeds,"TODO Plant in spring, 4 days.",Plant these in the spring. Takes 4 days to mature.
477,Kale Seeds,"TODO Plant in spring, 6 days. Harvest with scythe.",Plant these in the spring. Takes 6 days to mature. Harvest with the scythe.
478,Rhubarb Seeds,"TODO Plant in spring, 13 days.",Plant these in the spring. Takes 13 days to mature.
479,Melon Seeds,"TODO Plant in summer, 12 days.",Plant these in the summer. Takes 12 days to mature.
480,Tomato Seeds,"TODO Plant in summer, 11 days, reharvestable.","Plant these in the summer. Takes 11 days to mature, and continues to produce after first harvest."
481,Blueberry Seeds,"TODO Plant in summer, 13 days, reharvestable.","Plant these in the summer. Takes 13 days to mature, and continues to produce after first harvest."
482,Pepper Seeds,"TODO Plant in summer, 5 days, reharvestable.","Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest."
483,Wheat Seeds,"TODO Plant in summer or fall, 4 days. Harvest with scythe.",Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe.
484,Radish Seeds,"TODO Plant in summer, 6 days.",Plant these in the summer. Takes 6 days to mature.
485,Red Cabbage Seeds,"TODO Plant in summer, 9 days.",Plant these in the summer. Takes 9 days to mature.
486,Starfruit Seeds,"TODO Plant in summer, 13 days.",Plant these in the summer. Takes 13 days to mature.
487,Corn Seeds,"TODO Plant in summer or fall, 14 days, reharvestable.","Plant these in the summer or fall. Takes 14 days to mature, and continues to produce after first harvest."
488,Eggplant Seeds,"TODO Plant in fall, 5 days, reharvestable.","Plant these in the fall. Takes 5 days to mature, and continues to produce after first harvest."
489,Artichoke Seeds,"TODO Plant in fall, 8 days.",Plant these in the fall. Takes 8 days to mature.
490,Pumpkin Seeds,"TODO Plant in fall, 13 days.",Plant these in the fall. Takes 13 days to mature.
491,Bok Choy Seeds,"TODO Plant in fall, 4 days.",Plant these in the fall. Takes 4 days to mature.
492,Yam Seeds,"TODO Plant in fall, 10 days.",Plant these in the fall. Takes 10 days to mature.
493,Cranberry Seeds,"TODO Plant in fall, 7 days, reharvestable.","Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest."
494,Beet Seeds,"TODO Plant in fall, 6 days.",Plant these in the fall. Takes 6 days to mature.
495,Spring Seeds,TODO,An assortment of wild spring seeds.
496,Summer Seeds,TODO,An assortment of wild summer seeds.
497,Fall Seeds,TODO,An assortment of wild fall seeds.
498,Winter Seeds,TODO,An assortment of wild winter seeds.
499,Ancient Seeds,TODO,Could these still grow?
427,Tulip Bulb,TODO,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.
429,Jazz Seeds,TODO,Plant in spring. Takes 7 days to produce a blue puffball flower.
453,Poppy Seeds,TODO,Plant in summer. Produces a bright red flower in 7 days.
455,Spangle Seeds,TODO,Plant in summer. Takes 8 days to produce a vibrant tropical flower. Assorted colors.
431,Sunflower Seeds,TODO,Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest.
425,Fairy Seeds,TODO,Plant in fall. Takes 12 days to produce a mysterious flower. Assorted Colors.
516,Small Glow Ring,You wonder where the light comes from. Could this ring be radioactive?,"Emits a small, constant light."
517,Glow Ring,"Emits a strong, constant light. Wearing it makes your head feel funny...",Emits a constant light.
518,Small Magnet Ring,Makes you a little more alluring to the objects in your surroundings.,Slightly increases your radius for collecting items.
519,Magnet Ring,Everything is fiercely attracted to you. You're just that irresistible.,Increases your radius for collecting items.
520,Slime Charmer Ring,You won't feel a thing from the slimes' touch. ;),Prevents damage from slimes.
521,Warrior Ring,"The sharp edges cut into your flesh, making this ring difficult to remove. But it makes you feel stronger...","Occasionally infuses the wearer with ""warrior energy"" after slaying a monster."
522,Vampire Ring,It can steal the life-force of any being; hopefully not your own.,Gain a little health every time you slay a monster.
523,Savage Ring,Wearing this ring overwhelms you with a sudden blood-lust.,Gain a short speed boost whenever you slay a monster.
524,Ring of Yoba,Lets Yoba watch over you as you fight. Maybe just a little too closely...,Occasionally shields the wearer from damage.
525,Sturdy Ring,TODO,Cuts the duration of negative status effects in half.
526,Burglar's Ring,Improves your skills of thievery from corpses.,Monsters have a greater chance of dropping loot.
527,Iridium Band,Just as uncomfortable as it looks.,"Glows, attracts items, and increases attack damage by 10%."
528,Jukebox Ring,UNOBTAINABLE,Plays a random assortment of music you've heard.
529,Amethyst Ring,Push everything and everyone further away from you.,Increases knockback by 10%.
530,Topaz Ring,Gleams yellow when worn; an unseen force adjusts the movements of your hand.,Increases weapon precision by 10%.
531,Aquamarine Ring,TODO,Increases critical strike chance by 10%.
532,Jade Ring,"A dull, useless bauble.",Increases critical strike power by 10%.
533,Emerald Ring,Kill things faster than ever before.,Increases weapon speed by 10%.
534,Ruby Ring,TODO,Increases attack by 10%.
535,Geode,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",A blacksmith can break this open for you.
536,Frozen Geode,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",A blacksmith can break this open for you.
537,Magma Geode,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",A blacksmith can break this open for you.
538,Alamite,TODO,Its distinctive fluorescence makes it a favorite among rock collectors.
539,Bixite,TODO,A dark metallic Mineral sought after for its cubic structure.
540,Baryte,TODO,The best specimens resemble a desert rose.
541,Aerinite,TODO,These crystals are curiously light.
542,Calcite,TODO,This yellow crystal is speckled with shimmering nodules.
543,Dolomite,TODO,"It can occur in coral reefs, often near an underwater volcano."
544,Esperite,The crystals glow bright green when stimulated. Stimulated how?,The crystals glow bright green when stimulated.
545,Fluorapatite,Small amounts are found in human teeth. Tiny crystals... growing... in your mouth bones...,Small amounts are found in human teeth.
546,Geminite,TODO,Occurs in brilliant clusters.
547,Helvite,TODO,It grows in a triangular column.
548,Jamborite,TODO,The crystals are so tightly packed it almost looks fuzzy.
549,Jagoite,TODO,A high volume of tiny crystals makes it very glittery.
550,Kyanite,TODO,The geometric faces are as smooth as glass.
551,Lunarite,TODO,The cratered white orbs form a tight cluster.
552,Malachite,A toxic mineral. Please do not insert it into any orifices.,"A popular ornamental stone, used in sculpture and to make green paint."
553,Neptunite,Reflected in its jet-black surface you can see your face... and another face behind you.,A jet-black crystal that is unusually reflective.
554,Lemon Stone,Dwarves are said to use the powdered crystal both medicinally and recreationally.,Some claim the powdered crystal is a dwarvish delicacy.
555,Nekoite,TODO,The delicate shards form a tiny pink meadow.
556,Orpiment,"An attractive variety of arsenic mineral. Used in folk medicine, but highly toxic.","Despite its high toxicity, this Mineral is widely used in manufacturing and folk medicine."
557,Petrified Slime,This slime has seen some things. It's best we leave it this way.,"This little guy may be 100,000 years old."
558,Thunder Egg,TODO,"According to legend, angry thunder spirits would throw these stones at one another."
559,Pyrite,Did you think this was gold? Sucker!,"Commonly known as ""Fool's Gold""."
560,Ocean Stone,TODO,An old legend claims these stones are the mosaics of ancient mermaids.
561,Ghost Crystal,You hear strange moans in the distance when holding this crystal.,There is an aura of coldness around this crystal.
562,Tigerseye,Some poor tiger was blinded for this...,A stripe of shimmering gold gives this gem a warm luster.
563,Jasper,TODO,"When polished, this stone becomes attactively luminous. Prized by ancient peoples for thousands of years."
564,Opal,TODO,Its internal structure causes it to reflect a rainbow of light.
565,Fire Opal,TODO,"A rare variety of opal, named for its red spots."
566,Celestine,TODO,Some early life forms had bones made from this.
567,Marble,TODO,A very popular material for sculptures and construction.
568,Sandstone,TODO,A common type of stone with red and brown striations.
569,Granite,TODO,A speckled Mineral that is commonly used in construction.
570,Basalt,TODO,Forms near searing hot magma.
571,Limestone,Heat it at high temperatures to produce a compound helpful for disposing of human remains.,A very common type of stone. It's not worth very much.
572,Soapstone,This stone can be easily carved into all sorts of tempting shapes.,"Because of its relatively soft consistency, this stone is very popular for carving."
573,Hematite,TODO,An iron-based Mineral with interesting magnetic properties.
574,Mudstone,TODO,A fine-grained rock made from ancient clay or mud.
575,Obsidian,Can be crafted into thin blades much sharper than glass. Useful for surgeries.,A volcanic glass that forms when lava cools rapidly.
576,Slate,TODO,"It's extremely resistant to water, making it a good roofing material."
577,Fairy Stone,ALREADY UNSETTLING,An old miner's song suggests these are made from the bones of ancient fairies.
578,Star Shards,TODO,No one knows how these form. Some scientists claim that the microscopic structure displays unnatural regularity.
579,Prehistoric Scapula,TODO,"Commonly known as a ""shoulder blade""... It's unclear what species it belonged to."
580,Prehistoric Tibia,TODO,A thick and sturdy leg bone.
581,Prehistoric Skull,TODO,This is definitely a mammalian skull.
582,Skeletal Hand,This bone's age is about one thous... Oh! ...Oh no. It's much more recent.,It's a wonder all these ancient little pieces lasted so long.
583,Prehistoric Rib,TODO,Little gouge marks on the side suggest that this rib was someone's dinner.
584,Prehistoric Vertebra,TODO,A segment of some prehistoric creature's spine.
585,Skeletal Tail,TODO,It's pretty short for a tail.
586,Nautilus Fossil,Better to collect fossils than the actual creature. They're almost extinct.,This must've washed up ages ago from an ancient coral reef.
587,Amphibian Fossil,Formed eons ago when a small creature fell into a mud pit and was swallowed alive by the dirt.,The relatively short hind legs suggest some kind of primordial toad.
588,Palm Fossil,TODO,"Palm Fossils are relatively common, but this happens to be a particularly well-preserved specimen."
589,Trilobite,TODO,A long extinct relative of the crab.
590,Artifact Spot,UNOBTAINABLE,Uh... how did you get this in your inventory? Ape made a booboo.
591,Tulip,TODO,The most popular spring flower. Has a very faint sweet smell.
593,Summer Spangle,TODO,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma."
595,Fairy Rose,TODO,An old folk legend suggests that the sweet smell of this flower attracts fairies.
597,Blue Jazz,TODO,The flower grows in a sphere to invite as many butterflies as possible.
599,Sprinkler,Spits on the 4 adjacent tiles every morning.,Waters the 4 adjacent tiles every morning.
376,Poppy,A sweet-smelling flower thought to symbolize death. Breathing its scent is almost addictive...,"In addition to its colorful flower, the Poppy has culinary and medicinal uses."
604,Plum Pudding,Every proper holiday needs a flaming dessert.,A traditional holiday treat.
605,Artichoke Dip,TODO,It's cool and refreshing.
606,Stir Fry,TODO,Julienned vegetables on a bed of rice.
607,Roasted Hazelnuts,TODO,The roasting process creates a rich forest flavor.
608,Pumpkin Pie,TODO,Silky pumpkin cream in a flakey crust.
609,Radish Salad,TODO,The radishes are so crisp!
610,Fruit Salad,TODO,A delicious combination of summer fruits.
611,Blackberry Cobbler,TODO,There's nothing quite like it.
612,Cranberry Candy,TODO,It's sweet enough to mask the bitter fruit.
613,Apple,How many worms are in this one?,A crisp fruit used for juice and cider.
614,Green Tea,A highly diluted mixture of shrub and water. Yum!,"A pleasant, energizing beverage made from lightly processed tea leaves."
618,Bruschetta,TODO,Roasted tomatoes on a crisp white bread.
621,Quality Sprinkler,TODO,Waters the 8 adjacent tiles every morning.
645,Iridium Sprinkler,TODO,Waters the 24 adjacent tiles every morning.
648,Coleslaw,"It's very ""healthy"". Tastes like eating sliced up cardboard with mayonnaise.","It's light, fresh and very healthy."
649,Fiddlehead Risotto,TODO,A creamy rice dish served with sauteed fern heads. It's a little bland.
651,Poppyseed Muffin,"It has a soothing effect, just like the opium that can be derived from poppy seeds.",It has a soothing effect.
628,Cherry Sapling,TODO,"Takes 28 days to produce a mature cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
629,Apricot Sapling,TODO,"Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
630,Orange Sapling,TODO,"Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
631,Peach Sapling,TODO,"Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
632,Pomegranate Sapling,TODO,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
633,Apple Sapling,TODO,"Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
634,Apricot,Take care not to choke on the hard pit.,A tender little fruit with a rock-hard pit.
635,Orange,TODO,"Juicy, tangy, and bursting with sweet summer aroma."
636,Peach,"Fuzzy to the touch with soft, sweet flesh underneath.",It's almost fuzzy to the touch.
637,Pomegranate,"A known aphrodisiac with an inside texture like tiny, crunchy eyeballs.",Within the fruit are clusters of juicy seeds.
638,Cherry,A popular modder known for creating Train Station mod and Shop Tile Framework.,"It's popular, and ripens sooner than most other fruits."
668,Stone,UNOBTAINABLE,There's stone ore in this stone.
670,Stone,UNOBTAINABLE,There's stone ore in this stone.
674,Weeds,UNOBTAINABLE,Ugly weeds.
675,Weeds,UNOBTAINABLE,Ugly weeds.
676,Weeds,UNOBTAINABLE,Ugly weeds.
677,Weeds,UNOBTAINABLE,Ugly weeds.
678,Weeds,UNOBTAINABLE,Ugly weeds.
679,Weeds,UNOBTAINABLE,Ugly weeds.
680,Green Slime Egg,"It squirms within your grasp, the embryo eagerly awaiting release. Hatch it in a slime incubator.",Can be hatched in a slime incubator.
681,Rain Totem,Activate it to play god and wreck havoc on natural weather patterns. Consumed on use.,Activate to greatly increase the chance for rain tomorrow. Consumed on use.
682,Mutant Carp,TODO,The strange waters of the sewer turned this carp into a monstrosity.
684,Bug Meat,Throw this on the grill for a late night treat!,It's a juicy wad of bug flesh.
685,Bait,"Large bugs, slain and minced to lure in more critters for food.",Causes fish to bite faster. Must first be attached to a fishing rod.
686,Spinner,TODO,The shape makes it spin around in the water. Slightly increases the bite-rate when fishing.
687,Dressed Spinner,TODO,The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing.
688,Warp Totem: Farm,Warps all time and space to re-center the farm on your current physical location. Consumed on use.,Warp directly to your house. Consumed on use.
689,Warp Totem: Mountains,Warps all time and space to re-center the mountains on your current physical location. Consumed on use.,Warp directly to the mountains. Consumed on use.
690,Warp Totem: Beach,Warps all time and space to re-center the beach on your current physical location. Consumed on use.,Warp directly to the beach. Consumed on use.
691,Barbed Hook,"Stab the fish when they bite the hook, stab them again when they try to wiggle free.","Makes your catch more secure, causing the ""fishing bar"" to cling to your catch. Works best on slow, weak fish."
692,Lead Bobber,TODO,"Adds weight to your ""fishing bar"", preventing it from bouncing along the bottom."
693,Treasure Hunter,TODO,Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures.
694,Trap Bobber,Helps thwart a hooked fish's efforts to escape.,Causes fish to escape slower when you aren't reeling them in.
695,Cork Bobber,TODO,"Slightly increases the size of your ""fishing bar""."
698,Sturgeon,"Slow-breeding bottom-feeder close to extinction. Now there's one less in the wild, courtesy of you.",An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.
699,Tiger Trout,"Doomed to be the last of their bloodline, these unnatural hybrids can never reproduce.",A rare hybrid trout that cannot bear offspring of its own.
700,Bullhead,TODO,A relative of the catfish that eats a variety of foods off the lake bottom.
701,Tilapia,TODO,A primarily vegetarian fish that prefers warm water.
702,Chub,This freshwater fish is at half-mast.,A common freshwater fish known for its voracious appetite.
703,Magnet,TODO,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste."
704,Dorado,TODO,A fierce carnivore with brilliant orange scales.
705,Albacore,TODO,"Prefers temperature ""edges"" where cool and warm water meet."
706,Shad,TODO,"Lives in a school at sea, but returns to the rivers to spawn."
707,Lingcod,TODO,A fearsome predator that will eat almost anything it can cram into its mouth.
708,Halibut,"Born with an eye on each side of its head, one eye slowly migrates across as it grows.",A flat fish that lives on the ocean floor.
709,Hardwood,A formidable length of hardened wood. Very pleasing to the touch.,A special kind of wood with superior strength and beauty.
710,Crab Pot,TODO,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean."
715,Lobster,TODO,A large ocean-dwelling crustacean with a strong tail.
716,Crayfish,TODO,A small freshwater relative of the lobster.
717,Crab,"A sea spider, ready to be boiled alive and eaten fresh.",A marine crustacean with two powerful pincers.
718,Cockle,TODO,A common saltwater clam.
719,Mussel,TODO,A common bivalve that often lives in clusters.
720,Shrimp,TODO,A scavenger that feeds off the ocean floor. Widely prized for its meat.
721,Snail,TODO,A wide-ranging mollusc that lives in a spiral shell.
722,Periwinkle,TODO,A tiny freshwater snail that lives in a blue shell.
723,Oyster,A slimy-feeling shell means this creature is still alive.,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
724,Maple Syrup,"The sweet life-blood of maple trees, extracted for consumption.",A sweet syrup with a unique flavor.
725,Oak Resin,"The innards of an oak tree, extracted and processed for use.","A sticky, fragrant substance derived from oak sap."
726,Pine Tar,TODO,A pungent substance derived from pine sap.
727,Chowder,TODO,A perfect way to warm yourself after a cold night at sea.
730,Lobster Bisque,Some say you can hear the lobster scream as it is boiled alive. Others say it is just the sound of steam escaping.,This delicate soup is a secret family recipe of Willy's.
728,Fish Stew,TODO,"It smells a lot like the sea. Tastes better, though."
729,Escargot,"It may have a fancy French name, but it's still just snails.",Butter-soaked snails cooked to perfection.
731,Maple Bar,TODO,It's a sweet doughnut topped with a rich maple glaze.
732,Crab Cakes,TODO,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown."
733,Shrimp Cocktail,"Delicious, drinkable invertebrates, freshly-caught.",A sumptuous appetizer made with freshly-caught shrimp.
734,Woodskip,TODO,A very sensitive fish that can only live in pools deep in the forest.
745,Strawberry Seeds,TODO,"Plant these in spring. Takes 8 days to mature, and keeps producing strawberries after that."
746,Jack-O-Lantern,Vegetable craniotomy victim. Place its leering skull in a visible location as a warning to others.,A whimsical fall decoration.
747,Rotten Plant,Flies have laid eggs in the putrid mass. You should probably get rid of this.,Decomposing organic material. It's slimy and unpleasant.
748,Rotten Plant,Something wriggles just under the surface. You should probably get rid of this.,Decomposing organic material. It's slimy and unpleasant.
749,Omni Geode,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within. So many possibilities!",A blacksmith can break this open for you. These geodes contain a wide variety of Minerals.
750,Weeds,UNOBTAINABLE,Ugly weeds.
751,Stone,UNOBTAINABLE,There's copper ore in this stone.
760,Stone,UNOBTAINABLE,...
762,Stone,UNOBTAINABLE,...
764,Stone,UNOBTAINABLE,gold ore
765,Stone,UNOBTAINABLE,iridium ore
766,Slime,You're not sure which organ this gelatinous substance is from.,"A shimmering, gelatinous glob with no smell."
767,Bat Wing,It's still twitching after being sliced off from the body.,The material is surprisingly delicate.
768,Solar Essence,A warm remnant of Yoba's power.,The glowing face is warm to the touch.
769,Void Essence,TODO,It's quivering with dark energy.
770,Mixed Seeds,"There's a little bit of everything in here! Not just seeds... there's a few dead bugs and animal droppings, too.",There's a little bit of everything here. Plant them and see what grows!
771,Fiber,Better check it for animal droppings.,Raw material sourced from plants.
772,Oil of Garlic,"You'll ooze garlic from every pore, producing a pungent odor that is frightful to weaker monsters.",Drink this and weaker monsters will avoid you.
773,Life Elixir,TODO,Restores health to full.
774,Wild Bait,Bug corpses held together with Linus' special sauce.,A unique recipe from Linus that gives you a chance to catch two fish at once.
775,Glacierfish,TODO,Builds a nest on the underside of glaciers.
784,Weeds,UNOBTAINABLE,Ugly weeds.
785,Weeds,UNOBTAINABLE,Ugly weeds.
786,Weeds,UNOBTAINABLE,Ugly weeds.
787,Battery Pack,Lightning-powered. It's probably safe.,It's fully charged with precious energy.
788,Lost Axe,"The axe cries out for its owner. Faintly you can hear it whisper, ""Robin...""",Robin's been looking everywhere for it.
789,Lucky Purple Shorts,Most definitely unwashed.,Better not inspect these too closely.
790,Berry Basket,"Stained with what you *hope* is berry juice. It smells like Linus, and he smells awful.",The fibers are stained with berry juice.
792,Weeds,UNOBTAINABLE,Ugly weeds.
793,Weeds,UNOBTAINABLE,Ugly weeds.
794,Weeds,UNOBTAINABLE,Ugly weeds.
795,Void Salmon,"Shadows have mutated this species beyond repair. Keep an eye out behind you, you could be next.","A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air."
796,Slimejack,TODO,He's coated in a very thick layer of slime. He keeps slipping out of your hands!
797,Pearl,"A grain of sand that irritated an oyster until it spit on it again, and again, and again. Very beautiful.",A rare treasure from the sea.
798,Midnight Squid,TODO,A strange and mysterious denizen of the ocean's twilight depths.
799,Spook Fish,TODO,The huge eyes can detect the faint silhouettes of prey.
800,Blobfish,A fish rapidly pulled from its deep-sea home. The changing pressures have almost turned it inside-out.,"This odd creature floats above the ocean floor, consuming any edible material in its path."
801,Wedding Ring,"Binds your partner's soul to yours, 'til death do you part.",An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage.
802,Cactus Seeds,"Grows a spiny plant with a nasty defense system. Plant indoors only, 12 days, reharvestable.","Can only be grown indoors. Takes 12 days to mature, and then produces fruit every 3 days."
803,Iridium Milk,NON-INVENTORY,A powerful 'milk' of unknown origin...
805,Tree Fertilizer,TODO,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees."
807,Dinosaur Mayonnaise,"Yum, dead dinosaur babies!","It's thick and creamy, with a vivid green hue. It smells like grass and leather."
808,Void Ghost Pendant,TODO,"It's symoblic to the shadow people. As a gift, it signifies the desire to move in together as friends."
809,Movie Ticket,Sit with strangers in the dark and pretend the room isn't gassed up with farts. Give one to a friend!,Admits one to the movie theater. Giving this to a friend invites them to the movies with you.
810,Crabshell Ring,"The enchanted shell might protect you, but it certainly didn't protect the crab.",The top of the ring is made from enchanted crab shell.
811,Napalm Ring,Explodes enemy corpses. Violently. Wear it on a finger!,"When you defeat an enemy, they explode."
812,Roe,You can see tiny baby fish inside. Alive and wiggling. Age them in a preserves jar to bring out more flavor.,Fresh fish eggs. These can be aged in a preserves jar to bring out more flavor.
445,Caviar,"The salted, unborn offspring of an endangered fish species. A luxurious delicacy!",The cured roe of a sturgeon fish. Considered to be a luxurious delicacy!
814,Squid Ink,TODO,Squid use this ink to confuse would-be predators.
815,Tea Leaves,TODO,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage."
267,Flounder,Two eyes on one side of its head and none on the other. It wasn't born that way.,"It lives on the bottom, so both eyes are on top of its head."
265,Seafoam Pudding,Waterlogged and briny. There's no going back if you eat this.,This briny pudding will really get you into the maritime mindset!
269,Midnight Carp,TODO,This shy fish only feels comfortable at night.
